Acc is 0, index 0, instruction acc, value -7
Acc is 853, index 416, instruction acc, value 7
Acc is 860, index 417, instruction jmp, value 20
Acc is 860, index 437, instruction nop, value 91
Acc is 860, index 438, instruction acc, value 20
Acc is 880, index 439, instruction acc, value 18
Acc is 898, index 440, instruction jmp, value 4
Acc is 898, index 444, instruction nop, value -230
Acc is 898, index 445, instruction nop, value 45
Acc is 898, index 446, instruction acc, value 37
Acc is 935, index 447, instruction jmp, value 127
Acc is 935, index 574, instruction jmp, value -406
Acc is 935, index 168, instruction jmp, value 1
Acc is 935, index 169, instruction jmp, value 1
Acc is 935, index 170, instruction jmp, value 167
Acc is 935, index 337, instruction acc, value 34
Acc is 969, index 338, instruction acc, value 24
Acc is 993, index 339, instruction acc, value 37
Acc is 1030, index 340, instruction acc, value 44
Acc is 1074, index 341, instruction jmp, value -158
Acc is 1074, index 183, instruction nop, value 164
Acc is 1074, index 184, instruction acc, value 41
Acc is 1115, index 185, instruction jmp, value 440
Acc is 1115, index 625, instruction nop, value -135
Acc is 1115, index 626, instruction acc, value 43
Acc is 1158, index 627, instruction jmp, value -236
Acc is 1158, index 391, instruction jmp, value -366
Acc is 1158, index 25, instruction acc, value 10
Acc is 1168, index 26, instruction acc, value -8
Acc is 1160, index 27, instruction acc, value 39
Acc is 1199, index 28, instruction jmp, value 396
Acc is 1199, index 424, instruction nop, value 214
Acc is 1199, index 425, instruction jmp, value -284
Acc is 1199, index 141, instruction jmp, value -108
Acc is 1199, index 33, instruction nop, value 181
Acc is 1199, index 34, instruction acc, value 48
Acc is 1247, index 35, instruction acc, value 7
Acc is 1254, index 36, instruction jmp, value 1
Acc is 1254, index 37, instruction jmp, value 370
Acc is 1254, index 407, instruction nop, value 76
Acc is 1254, index 408, instruction acc, value 44
Acc is 1298, index 409, instruction acc, value 43
Acc is 1341, index 410, instruction acc, value 43
Acc is 1384, index 411, instruction jmp, value 196
Acc is 1384, index 607, instruction nop, value -477
Acc is 1384, index 608, instruction acc, value 21
Acc is 1405, index 609, instruction nop, value -92
Acc is 1405, index 610, instruction jmp, value -263
Acc is 1405, index 347, instruction acc, value 25
Acc is 1430, index 348, instruction nop, value -105
Acc is 1430, index 349, instruction acc, value -15
Acc is 1415, index 350, instruction acc, value 34
Acc is 1449, index 351, instruction jmp, value -6
Acc is 1449, index 345, instruction jmp, value -329
Acc is 1449, index 16, instruction acc, value 16
Acc is 1465, index 17, instruction acc, value 3
Acc is 1468, index 18, instruction acc, value 41
Acc is 1509, index 19, instruction jmp, value 566
Acc is 1509, index 585, instruction nop, value -489
Acc is 1509, index 586, instruction jmp, value -490
Acc is 1509, index 96, instruction acc, value -9
Acc is 1500, index 97, instruction acc, value 46
Acc is 1546, index 98, instruction jmp, value 124
Acc is 1546, index 222, instruction jmp, value 265
Acc is 1546, index 487, instruction acc, value -16
Acc is 1530, index 488, instruction jmp, value -10
Acc is 1530, index 478, instruction acc, value 2
Acc is 1532, index 479, instruction acc, value 23
Acc is 1555, index 480, instruction jmp, value -256
Acc is 1555, index 224, instruction acc, value 46
Acc is 1601, index 225, instruction acc, value -14
Acc is 1587, index 226, instruction acc, value -17
Acc is 1570, index 227, instruction jmp, value -19
Acc is 1570, index 208, instruction acc, value -18
Acc is 1552, index 209, instruction acc, value 16
Acc is 1568, index 210, instruction acc, value -8
Acc is 1560, index 211, instruction acc, value 6
Acc is 1566, index 212, instruction jmp, value 104
Acc is 1566, index 316, instruction acc, value 28
Acc is 1594, index 317, instruction jmp, value -21
Acc is 1594, index 296, instruction acc, value 11
     (0, acc, -7)
     (1, acc, 2)
     (2, acc, 20)
     (3, acc, 14)
     (4, jmp, 191)
     (195, acc, 27)
     (196, acc, 31)
     (197, nop, -29)
     (198, jmp, 1)
     (199, jmp, 250)
     (449, jmp, -153)
     (296, acc, 11)
     (297, acc, -18)
     (298, jmp, -186)
     (112, acc, -6)
     (113, nop, 494)
     (114, acc, -9)
     (115, jmp, -63)
     (52, acc, 36)
     (53, acc, -12)
     (54, jmp, 50)
     (104, nop, 178)
     (105, acc, 12)
     (106, acc, 45)
     (107, jmp, 461)
     (568, acc, 38)
     (569, nop, -425)
     (570, jmp, -440)
     (130, acc, 20)
     (131, acc, 25)
     (132, jmp, 425)
     (557, acc, -12)
     (558, acc, 22)
     (559, acc, 27)
     (560, jmp, -176)
     (384, acc, 0)
     (385, jmp, -211)
     (174, acc, 32)
     (175, acc, 38)
     (176, acc, 2)
     (177, jmp, -93)
     (84, acc, 34)
     (85, jmp, 515)
     (600, jmp, 1)
     (601, nop, 43)
     (602, jmp, -65)
     (537, nop, -528)
     (538, jmp, -495)
     (43, nop, 17)
     (44, acc, 25)
     (45, acc, -15)
     (46, jmp, 285)
     (331, acc, 46)
     (332, acc, -9)
     (333, jmp, -174)
     (159, jmp, 1)
     (160, acc, 20)
     (161, acc, 4)
     (162, acc, 25)
     (163, jmp, -87)
     (76, acc, -18)
     (77, acc, 15)
     (78, acc, -8)
     (79, acc, -3)
     (80, jmp, 46)
     (126, nop, 402)
     (127, jmp, 381)
     (508, jmp, -200)
     (308, jmp, 152)
     (460, acc, -11)
     (461, nop, 82)
     (462, acc, 7)
     (463, acc, 40)
     (464, jmp, 79)
     (543, acc, -2)
     (544, acc, 41)
     (545, jmp, -475)
     (70, acc, -4)
     (71, jmp, 292)
     (363, acc, -5)
     (364, jmp, -304)
     (60, jmp, 1)
     (61, nop, 210)
     (62, acc, -15)
     (63, acc, -6)
     (64, jmp, 446)
     (510, acc, 8)
     (511, acc, 48)
     (512, acc, 15)
     (513, acc, 0)
     (514, jmp, -493)
     (21, acc, 15)
     (22, jmp, 452)
     (474, acc, 0)
     (475, acc, 4)
     (476, jmp, 20)
     (496, jmp, -67)
     (429, acc, 48)
     (430, acc, -3)
     (431, jmp, -55)
     (376, acc, 24)
     (377, acc, -10)
     (378, acc, 21)
     (379, jmp, -97)
     (282, acc, -14)
     (283, acc, 38)
     (284, acc, 50)
     (285, acc, -7)
     (286, jmp, 197)
     (483, acc, 29)
     (484, acc, -13)
     (485, jmp, 77)
     (562, acc, -15)
     (563, acc, 14)
     (564, acc, 30)
     (565, acc, 0)
     (566, jmp, -363)
     (203, jmp, 72)
     (275, acc, -2)
     (276, jmp, -265)
     (11, acc, 24)
     (12, jmp, 220)
     (232, jmp, 80)
     (312, jmp, 102)
     (414, acc, 5)
     (415, acc, 45)
     (416, acc, 7)
     (417, jmp, 20)
     (437, nop, 91)
     (438, acc, 20)
     (439, acc, 18)
     (440, jmp, 4)
     (444, nop, -230)
     (445, nop, 45)
     (446, acc, 37)
     (447, jmp, 127)
     (574, jmp, -406)
     (168, jmp, 1)
     (169, jmp, 1)
     (170, jmp, 167)
     (337, acc, 34)
     (338, acc, 24)
     (339, acc, 37)
     (340, acc, 44)
     (341, jmp, -158)
     (183, nop, 164)
     (184, acc, 41)
     (185, jmp, 440)
     (625, nop, -135)
     (626, acc, 43)
     (627, jmp, -236)
     (391, jmp, -366)
     (25, acc, 10)
     (26, acc, -8)
     (27, acc, 39)
     (28, jmp, 396)
     (424, nop, 214)
     (425, jmp, -284)
     (141, jmp, -108)
     (33, nop, 181)
     (34, acc, 48)
     (35, acc, 7)
     (36, jmp, 1)
     (37, jmp, 370)
     (407, nop, 76)
     (408, acc, 44)
     (409, acc, 43)
     (410, acc, 43)
     (411, jmp, 196)
     (607, nop, -477)
     (608, acc, 21)
     (609, nop, -92)
     (610, jmp, -263)
     (347, acc, 25)
     (348, nop, -105)
     (349, acc, -15)
     (350, acc, 34)
     (351, jmp, -6)
     (345, jmp, -329)
     (16, acc, 16)
     (17, acc, 3)
     (18, acc, 41)
     (19, jmp, 566)
     (585, nop, -489)
     (586, jmp, -490)
     (96, acc, -9)
     (97, acc, 46)
     (98, jmp, 124)
     (222, jmp, 265)
     (487, acc, -16)
     (488, jmp, -10)
     (478, acc, 2)
     (479, acc, 23)
     (480, jmp, -256)
     (224, acc, 46)
     (225, acc, -14)
     (226, acc, -17)
     (227, jmp, -19)
     (208, acc, -18)
     (209, acc, 16)
     (210, acc, -8)
     (211, acc, 6)
     (212, jmp, 104)
     (316, acc, 28)
     (317, jmp, -21)
Acc is 1594, index 296, instruction acc, value 11
Max instruction is 627
Acc: 1594
